"soe","month","month_num","year","total_arrivals","arrivals_male","arrivals_female"
"Pulau Pinang","November","11","2023",94156,44464,49692
"Pulau Pinang","October","10","2020",66,46,20
"Pulau Pinang","October","10","2021",282,170,112
"Pulau Pinang","October","10","2022",55019,25274,29745
"Pulau Pinang","October","10","2023",86296,40163,46133
"Pulau Pinang","September","09","2020",26,21,5
"Pulau Pinang","September","09","2021",267,197,70
"Pulau Pinang","September","09","2022",49737,22618,27119
"Pulau Pinang","September","09","2023",87334,42280,45054
"Sabah","April","04","2020",18,2,16
"Sabah","April","04","2021",7,5,2
"Sabah","April","04","2022",1733,941,792
"Sabah","April","04","2023",36694,17302,19392
"Sabah","April","04","2024",39348,17643,21705
"Sabah","August","08","2020",37,18,19
"Sabah","August","08","2021",7,5,2
"Sabah","August","08","2022",19225,9137,10088
"Sabah","August","08","2023",9825,4896,4929
"Sabah","December","12","2020",11,8,3
"Sabah","December","12","2021",28,13,15
"Sabah","December","12","2022",29583,13640,15943
"Sabah","December","12","2023",52232,23676,28556
"Sabah","February","02","2020",30157,14245,15912
"Sabah","February","02","2021",18,8,10
"Sabah","February","02","2022",18,10,8
"Sabah","February","02","2023",33907,15549,18358
"Sabah","February","02","2024",68963,30981,37982
"Sabah","January","01","2020",64829,29285,35544
"Sabah","January","01","2021",10,6,4
"Sabah","January","01","2022",40,19,21
"Sabah","January","01","2023",37889,17466,20423
"Sabah","January","01","2024",67279,29696,37583
"Sabah","July","07","2020",95,31,64
"Sabah","July","07","2021",5,5,0
"Sabah","July","07","2022",19694,9315,10379
"Sabah","July","07","2023",31337,14535,16802
"Sabah","June","06","2020",33,6,27
"Sabah","June","06","2021",4,2,2
"Sabah","June","06","2022",10590,5082,5508
"Sabah","June","06","2023",25499,12113,13386
"Sabah","June","06","2024",59708,26005,33703
"Sabah","March","03","2020",7280,3907,3373
"Sabah","March","03","2021",18,18,0
"Sabah","March","03","2022",30,15,15
"Sabah","March","03","2023",37411,17004,20407
"Sabah","March","03","2024",50964,21968,28996
"Sabah","May","05","2020",19,11,8
"Sabah","May","05","2021",12,6,6
"Sabah","May","05","2022",5174,2686,2488
"Sabah","May","05","2023",41970,19557,22413
"Sabah","May","05","2024",47592,21425,26167
"Sabah","November","11","2020",5,4,1
"Sabah","November","11","2021",35,19,16
"Sabah","November","11","2022",21324,10170,11154
"Sabah","November","11","2023",30563,14346,16217
"Sabah","October","10","2020",2,2,0
"Sabah","October","10","2021",10,7,3
"Sabah","October","10","2022",17484,8372,9112
"Sabah","October","10","2023",7936,4102,3834
"Sabah","September","09","2020",21,9,12
"Sabah","September","09","2021",2,1,1
"Sabah","September","09","2022",17259,8460,8799
"Sabah","September","09","2023",9078,4479,4599
"Sarawak","April","04","2020",470,438,32
"Sarawak","April","04","2021",981,952,29
"Sarawak","April","04","2022",3082,2160,922
"Sarawak","April","04","2023",173088,90593,82495
"Sarawak","April","04","2024",231503,122358,109145
"Sarawak","August","08","2020",808,724,84
"Sarawak","August","08","2021",702,682,20
"Sarawak","August","08","2022",63655,35833,27822
"Sarawak","August","08","2023",112505,61296,51209
"Sarawak","December","12","2020",853,829,24
"Sarawak","December","12","2021",694,627,67
"Sarawak","December","12","2022",193715,99084,94631
"Sarawak","December","12","2023",230361,120799,109562
"Sarawak","February","02","2020",100480,60537,39943
"Sarawak","February","02","2021",756,740,16
"Sarawak","February","02","2022",778,707,71
"Sarawak","February","02","2023",132326,72075,60251
"Sarawak","February","02","2024",190621,101221,89400
"Sarawak","January","01","2020",140162,80142,60020
"Sarawak","January","01","2021",946,915,31
"Sarawak","January","01","2022",1008,913,95
"Sarawak","January","01","2023",140685,76058,64627
"Sarawak","January","01","2024",176310,95746,80564
"Sarawak","July","07","2020",1193,1105,88
"Sarawak","July","07","2021",976,953,23
"Sarawak","July","07","2022",35179,20376,14803
"Sarawak","July","07","2023",128541,68707,59834
"Sarawak","June","06","2020",946,902,44
"Sarawak","June","06","2021",811,788,23
"Sarawak","June","06","2022",29014,17923,11091
"Sarawak","June","06","2023",120392,64628,55764
"Sarawak","June","06","2024",205241,108896,96345
"Sarawak","March","03","2020",49502,30001,19501
"Sarawak","March","03","2021",1087,1059,28
"Sarawak","March","03","2022",950,880,70
"Sarawak","March","03","2023",141193,77147,64046
"Sarawak","March","03","2024",214777,112393,102384
